feature,importance
num__rain_10d_sum,0.14311525609830952
num__rain_5d_sum,0.13353706058774412
num__rain_7d_sum,0.12739277326470655
num__rain_7d_max,0.10312261307570712
num__rain_3d_sum,0.09340271704482433
num__rain_2d_sum,0.07964713799864155
num__rain_3d_max,0.07116092984331937
num__rain_dry_days_3d,0.0576211651910864
num__rain_1d,0.05449168676606099
num__Latitude,0.006350569863023281
num__2010_GDP_PPP,0.006149919368817152
num__Drainage Intensity,0.0059514909483027395
num__1990_GDP_PPP,0.005440339047790752
num__Mean Temperature of Coldest Quarter,0.005163796273208138
num__Isothermality,0.005021432503116894
