GaugeID,Stream Order,Maximal Flow Length,Downvalley Length,Drainage Area,Catchment Relief,Catchment Length,Catchment Perimeter,Sinuosity Index,Form Factor,Relief Ratio,Elongation Ratio,Circularity Ratio,Lemniscates Value,Drainage Texture,Drainage Density,Compactness Coefficient,Wandering Ratio,Fitness Ratio,Basin Magnitude,Channel Frequency,Drainage Intensity,Infiltration Number,Ruggedness Number,No. of Firstorder Streams,No. of Secondorder Streams,No. of Thirdorder Streams,No. of Fourthorder Streams,No. of Fifthorder Streams,No. of Sixthorder Streams,No. of Seventhorder Streams,No. of Eigthorder Streams,Firstorder Streams Length,Secondorder Streams Length,Thirdorder Streams Length,Fourthorder Streams Length,Fifthorder Streams Length,Sixthorder Streams Length,Seventhorder Streams Length,Eighthorder Streams Length,Firstorder Streams  Mean  Length,Secondorder Streams  Mean Length,Thirdorder Streams Mean Length,Fourthorder Streams Mean Length,Fifthorder Streams Mean Length,Sixthorder Streams Mean Length,Seventhorder Streams Mean Length,Eighthorder Streams Mean Length,FirstSecond Stream Length Ratio,SecondThird Stream Length Ratio,ThirdForth Stream Length Ratio,FourthFifth Stream Length Ratio,FifthSixth Stream Length Ratio,SixthSeventh Stream Length Ratio,SeventhEighth Stream Length Ratio,FirstSecond Bifurcation Ratio,SecondThird Bifurcation Ratio,ThirdForth Bifurcation Ratio,FourthFifth Bifurcation Ratio,FifthSixth Bifurcation Ratio,Sixthseventh Bifurcation Ratio,SeventhEighth Bifurcation Ratio,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,KoppenGeiger Climate Type,2015_GDP_PPP,2010_GDP_PPP,2005_GDP_PPP,2000_GDP_PPP,1995_GDP_PPP,1990_GDP_PPP,2010_GDP_PC_PPP,2015_GDP_PC_PPP,2005_GDP_PC_PPP,2000_GDP_PC_PPP,1995_GDP_PC_PPP,1990_GDP_PC_PPP,Night Light,Road Density,Urban percentage,2010_HDI,2015_HDI,2005_HDI,2000_HDI,1995_HDI,1990_HDI,Population Count,Population Density,Land cover,Soil type,lithology type
INDOFLOODS-gauge-585,3,32559.68945,24827.61328,637.4835205,865,28620.43945,107773.3359,1.311430454,0.778245032,0.030223155,4.91e-09,0.68969357,1.284942269,0.000102066,0.000154753,1.212685227,1.137637615,0.302112669,8,1.73e-08,0.000111503,2.67e-12,0.133861199,8,2.0,1.0,,,,,,64648.80859,28368.00977,5635.555176,,,,,,8081.101074,14184.00488,5635.555176,,,,,,0.438801736,0.198658809,,,,,,4.0,2.0,,,,,,25.50547,12.361441,51.864276,271.007403,36.735795,12.903129,23.832666,25.337338,23.737213,29.083709,22.156758,3025.142678,1228.79224,0.861076,162.405361,2550.290363,3.219024,361.259074,5.663329,Tropical,149816107.3,109000848.8,75196686.25,51240738.5,43968599.38,30744078.94,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,0.132043,503.875,7.373271889,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,119919.4851,185.756581,Mosaic vegetation,Leptosols,No dominant class
INDOFLOODS-gauge-596,2,42638.53125,34697.44531,408.33078,944,40600.33984,124521.1797,1.228866577,0.247715265,0.023251036,4.32e-09,0.330929548,4.036892891,5.62e-05,0.000151031,1.750686526,1.050201297,0.342419922,6,1.71e-08,0.000113506,2.59e-12,0.142573074,6,1.0,,,,,,,23818.08984,37852.43359,,,,,,,3969.681641,37852.43359,,,,,,,1.589230418,,,,,,,6.0,,,,,,,25.404311,9.23789,55.297388,172.180126,33.565244,16.854472,16.710772,25.061213,24.714431,27.815075,23.700339,3486.989837,1356.119919,0.152439,151.710348,2848.855691,3.323171,112.5,17.638211,Tropical,38300255.0,28228859.25,19898248.0,13853691.63,12119178.13,8676023.625,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,0.215354,284.5,0.0,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,59797.19563,147.776923,Mosaic vegetation,Leptosols,No dominant class
INDOFLOODS-gauge-602,3,34361.13672,23634.49414,861.9865112,1350,27032.13477,165521.9375,1.453855395,1.17961359,0.049940564,4.47e-09,0.395365894,0.847735226,9.67e-05,0.000146162,1.601683021,1.27112186,0.207592651,12,1.86e-08,0.000126995,2.71e-12,0.197318554,12,3.0,1.0,,,,,,68648.02344,47259.95703,10081.59668,,,,,,5720.668457,15753.31934,10081.59668,,,,,,0.688438714,0.213322178,,,,,,4.0,3.0,,,,,,25.624695,9.435112,53.038277,198.417931,34.457312,16.663933,17.793379,25.642638,24.617885,28.337829,23.436084,3413.185771,1408.132411,0.067194,158.365285,2826.36166,1.579051,466.51087,7.855731,Tropical,81009398.92,59168221.38,41085975.08,28183087.08,24330122.58,17140312.73,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,1.959736,205.692308,4.810996564,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,136351.1664,164.482913,Mosaic vegetation,Leptosols,No dominant class
INDOFLOODS-gauge-635,5,146478.4219,95281.04688,6916.848633,871,102859.7891,413458.3438,1.537330151,0.653757989,0.008467838,4.14e-10,0.508457422,1.529618025,0.000292653,0.000171563,1.412371159,1.424059153,0.354276121,91,1.75e-08,0.000101965,3e-12,0.149431586,91,21.0,6.0,2.0,1.0,,,,667246.125,297716.4375,110971.1563,64964.47656,45778.89844,,,,7332.375,14176.97363,18495.19336,32482.23828,45778.89844,,,,0.446186841,0.372741103,0.585417688,0.704675853,,,,4.333333492,3.5,3.0,2.0,,,,24.697116,13.489069,51.997748,312.343017,37.21263,11.273022,25.939608,24.69549,22.683453,28.783872,20.832747,977.227105,310.872203,0.283622,120.732693,708.380507,4.309689,163.994694,10.433103,Arid,492278343.5,355511052.1,242275839.3,163117788.6,138522526.6,95598537.28,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,5.421074,543.5,20.48071097,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,3569752.0,515.95891,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-645,3,40200.24609,33245.45313,693.2064209,323,35015.86328,118647.3828,1.209195256,0.565370202,0.009224391,3.85e-09,0.61880827,1.768752575,0.000117997,0.00016208,1.280259848,1.148058176,0.338821173,10,2.02e-08,0.000124605,3.27e-12,0.052351732,10,3.0,1.0,,,,,,66162.22656,30347.52344,15844.9209,,,,,,6616.222656,10115.84082,15844.9209,,,,,,0.458683521,0.522115767,,,,,,3.333333254,3.0,,,,,,24.18875,12.896921,51.864366,291.23305,36.030787,11.164652,24.866135,24.154922,22.25344,27.997624,20.554466,1637.04561,590.950969,0.672748,143.361713,1294.781072,3.984036,232.706956,7.874572,Tropical,1718174184.0,1227995574.0,822393725.8,544042533.6,454913635.6,307696847.3,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,15.219256,656.375,23.7804878,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,755202.3811,1101.142409,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-646,2,33861.26563,27096.79102,436.1244507,764,32629.75391,93451.83594,1.24964118,0.409621596,0.023414213,5.2e-09,0.627544641,2.441277504,8.56e-05,0.000143051,1.271317005,1.037742019,0.362339228,7,1.83e-08,0.00012823,2.62e-12,0.109290853,7,1.0,,,,,,,32753.875,29634.10352,,,,,,,4679.125,29634.10352,,,,,,,0.904751062,,,,,,,7.0,,,,,,,26.423103,9.935759,53.047939,208.956301,35.222015,16.490485,18.73153,26.808893,24.973165,29.232307,23.862811,4096.143657,1671.061567,0.229478,160.370878,3436.283582,1.014925,674.932836,3.490672,Tropical,126645542.0,92404187.71,64045622.29,43843719.86,37773057.29,26544240.0,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,4.978299,225.0,7.051282051,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,76796.29182,176.517191,No dominant class,Leptosols,No dominant class
INDOFLOODS-gauge-648,1,17134.67383,14538.82617,123.8492584,506,17959.18359,51612.71484,1.178545833,0.383990288,0.028175,1.77e-08,0.584238112,2.60423255,1.94e-05,0.000128103,1.317592859,0.95408982,0.331985503,1,8.07e-09,6.3e-05,1.03e-12,0.064820245,1,,,,,,,,15865.49219,,,,,,,,15865.49219,,,,,,,,,,,,,,,,,,,,,,26.520563,9.785173,53.303916,202.433881,34.992857,16.633766,18.359091,26.978355,24.976732,29.232792,23.9829,4234.220779,1710.350649,0.37013,159.536232,3545.422078,1.902597,707.37013,4.266234,Tropical,275886355.0,199986010.0,137111795.0,92846955.0,79220517.0,55001278.0,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,2.99146,158.0,5.747126437,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,40573.91252,333.231393,No dominant class,Leptosols,No dominant class
INDOFLOODS-gauge-656,4,126153.7969,100087.4297,2928.480469,508,104108.9219,289428.9063,1.260435939,0.270188242,0.004879505,6.29e-10,0.439307272,3.701123476,0.000186574,0.00015818,1.5194695,1.211748123,0.435871452,43,1.84e-08,0.000116573,2.92e-12,0.080355614,43,8.0,2.0,1.0,,,,,248569.8281,119084.4922,46935.67578,48638.03906,,,,,5780.693848,14885.56152,23467.83789,48638.03906,,,,,0.479078621,0.394137591,1.036270142,,,,,5.375,4.0,2.0,,,,,24.894382,12.945856,54.991056,252.321606,37.347565,13.805645,23.54192,23.774055,24.487166,28.587392,22.341247,588.617322,132.218871,0.00249,90.001184,309.830659,5.100443,80.15772,36.404815,Arid,216711813.6,157916156.5,109229343.2,74632482.08,64200106.65,45029628.81,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,1.857786,484.837838,8.281174771,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,759946.2082,257.210517,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-668,3,58008.33594,45804.375,961.7387085,1028,49877.60156,169448.2813,1.266436577,0.386585861,0.020610454,2.29e-09,0.420913279,2.586747408,9.44e-05,0.000150668,1.552314997,1.163013697,0.342336535,12,1.66e-08,0.000110418,2.51e-12,0.154887021,12,3.0,1.0,,,,,,71356.57813,51806.17969,21740.78711,,,,,,5946.381348,17268.72656,21740.78711,,,,,,0.72601825,0.419656247,,,,,,4.0,3.0,,,,,,26.2644,11.008383,52.312192,238.09362,36.123773,15.072589,21.051184,26.82586,24.634772,29.43181,23.309842,3608.472081,1465.874788,0.887479,158.986766,2981.358714,3.441624,560.473773,4.895939,Tropical,197976974.7,143606923.3,98580928.93,66849795.53,57123006.63,39733275.33,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,5.016442,315.0,20.14814815,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,516651.3347,538.620595,No dominant class,No dominant class,No dominant class
INDOFLOODS-gauge-626,5,295467.4063,189771.0313,14911.73242,879,203021.7656,662235.375,1.556967854,0.361778617,0.004329585,1.43e-10,0.427280635,2.764121294,0.000354859,0.000157318,1.540705204,1.455348372,0.446166754,186,1.58e-08,0.000100175,2.48e-12,0.138282731,186,39.0,7.0,2.0,1.0,,,,1119897.75,709349.75,296716.4688,95663.32813,124260.2188,,,,6020.955566,18188.45508,42388.06641,47831.66406,124260.2188,,,,0.633405805,0.418293625,0.32240653,1.298932672,,,,4.769230843,5.571428776,3.5,2.0,,,,24.816228,12.945148,52.499026,289.143911,37.12452,12.482875,24.641645,24.663163,23.39682,28.620459,21.397075,960.403614,327.786354,0.578803,111.449504,661.346386,4.473355,159.797357,21.626537,Arid,492710243.4,352536987.7,236667255.0,157054231.7,131801291.2,89575071.53,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,9.279305,484.734807,15.50540668,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,8628607.0,577.20141,Cropland,Vertisols,Basic volcanic rocks
