GaugeID,catchment_area_km2,population_total,population_density_per_km2,urban_built_up_pct,dense_forest_pct,agriculture_pct,water_body_pct,barren_rocky_pct,impervious_surface_pct
585,642.79,106346,132.135,45.781,53.713,50.498,14.856,18.642,57.423
589,12419.155,1990565,1545.299,100.0,100.0,100.0,100.0,100.0,100.0
596,402.558,67909,103.307,30.166,50.831,42.09,10.051,15.038,38.205
602,826.003,135660,154.12,57.69,55.912,56.91,18.52,21.39,72.08
612,33433.016,5352783,4066.962,100.0,100.0,100.0,100.0,100.0,100.0
626,15032.962,2408774,1858.955,100.0,100.0,100.0,100.0,100.0,100.0
635,6974.434,1119409,891.932,100.0,100.0,100.0,100.0,100.0,100.0
640,11386.901,1825404,1421.428,100.0,100.0,100.0,100.0,100.0,100.0
642,22281.892,3568603,2728.827,100.0,100.0,100.0,100.0,100.0,100.0
643,2448.578,395273,348.829,100.0,75.383,100.0,50.972,45.729,100.0
645,705.416,116367,139.65,49.852,54.465,52.69,16.108,19.581,62.433
646,434.796,73067,107.175,32.262,51.218,43.218,10.696,15.522,40.784
648,124.856,23477,69.983,12.116,47.498,32.37,4.497,10.873,15.989
654,1917.5,310300,285.1,100.0,69.01,95.113,40.35,37.763,100.0
656,2951.58,475753,409.19,100.0,81.419,100.0,61.032,53.274,100.0
668,956.662,156566,169.799,66.183,57.48,61.483,21.133,23.35,82.533
678,15112.207,2421453,1868.465,100.0,100.0,100.0,100.0,100.0,100.0
681,1964.005,317741,290.681,100.0,69.568,96.74,41.28,38.46,100.0
682,6764.544,1085827,866.745,100.0,100.0,100.0,100.0,100.0,100.0
684,5382.647,864724,700.918,100.0,100.0,100.0,100.0,89.74,100.0
