EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-585-1,2019-06-12,2019-08-27,89.14,2019-07-22,6,,,,77,41,37,Flood
INDOFLOODS-gauge-585-2,2019-09-20,2020-01-31,89.17,2019-10-04,1,,,,134,15,120,Flood
INDOFLOODS-gauge-589-1,1969-08-02,1969-08-03,540.39,1969-08-02,1,3850.0,1969-08-02,7650.0,2,1,2,Flood
INDOFLOODS-gauge-589-2,1969-08-06,1969-08-07,539.77,1969-08-07,1,3600.0,1969-08-07,7100.0,2,2,1,Flood
INDOFLOODS-gauge-589-3,1973-07-09,1973-07-10,539.87,1973-07-10,1,4950.0,1973-07-10,9880.0,2,2,1,Flood
INDOFLOODS-gauge-589-4,1975-07-11,1975-07-12,540.46,1975-07-12,1,5270.0,1975-07-12,9960.0,2,2,1,Flood
INDOFLOODS-gauge-589-5,1976-06-08,1976-06-08,541.07,1976-06-08,1,4890.0,1976-06-08,4890.0,1,1,1,Severe Flood
INDOFLOODS-gauge-589-6,1976-08-02,1976-08-06,540.79,1976-08-04,1,4750.0,1976-08-04,22414.0,5,3,3,Severe Flood
INDOFLOODS-gauge-589-7,1979-08-08,1979-08-10,539.77,1979-08-09,1,4903.7,1979-08-09,13513.4,3,2,2,Flood
INDOFLOODS-gauge-589-8,1980-07-04,1980-07-06,539.89,1980-07-05,1,3800.0,1980-07-05,11055.9,3,2,2,Flood
INDOFLOODS-gauge-589-9,1980-08-06,1980-08-07,539.47,1980-08-07,1,3620.0,1980-08-07,7140.0,2,2,1,Flood
INDOFLOODS-gauge-589-10,1988-08-04,1988-08-05,539.89,1988-08-04,1,4997.0,1988-08-04,9145.0,2,1,2,Flood
INDOFLOODS-gauge-589-11,1989-07-26,1989-07-28,540.04,1989-07-27,1,4954.0,1989-07-26,14337.0,3,2,2,Flood
INDOFLOODS-gauge-589-12,1990-08-18,1990-08-21,540.79,1990-08-20,1,6500.0,1990-08-20,23316.0,4,3,2,Severe Flood
INDOFLOODS-gauge-589-13,1991-07-29,1991-07-31,540.42,1991-07-30,1,5938.0,1991-07-30,15174.0,3,2,2,Flood
INDOFLOODS-gauge-589-14,1994-07-14,1994-07-19,541.17,1994-07-17,1,6300.0,1994-07-17,32920.0,6,4,3,Severe Flood
INDOFLOODS-gauge-589-15,1994-09-03,1994-09-05,539.96,1994-09-04,1,5040.0,1994-09-04,14110.0,3,2,2,Flood
INDOFLOODS-gauge-589-16,1997-08-02,1997-08-04,539.6,1997-08-03,1,4000.0,1997-08-03,11660.0,3,2,2,Flood
INDOFLOODS-gauge-589-17,1997-08-08,1997-08-10,539.86,1997-08-09,1,4120.0,1997-08-09,11870.0,3,2,2,Flood
INDOFLOODS-gauge-589-18,1997-08-25,1997-08-28,541.0,1997-08-27,1,4780.0,1997-08-27,18477.0,4,3,2,Severe Flood
INDOFLOODS-gauge-589-19,2004-08-14,2004-08-14,539.46,2004-08-14,1,4211.0,2004-08-14,4211.0,1,1,1,Flood
INDOFLOODS-gauge-589-20,2005-07-27,2005-08-09,543.68,2005-08-05,1,9381.0,2005-08-05,101235.0,14,10,5,Severe Flood
INDOFLOODS-gauge-589-21,2006-07-30,2006-08-05,541.74,2006-08-02,1,7057.27,2006-08-02,41598.07,7,4,4,Severe Flood
INDOFLOODS-gauge-589-22,2006-08-08,2006-08-16,542.13,2006-08-12,1,7505.17,2006-08-12,56612.11,9,5,5,Severe Flood
INDOFLOODS-gauge-589-23,2007-07-02,2007-07-03,539.88,2007-07-03,1,3943.23,2007-07-03,7736.21,2,2,1,Flood
INDOFLOODS-gauge-589-24,2011-09-05,2011-09-06,539.93,2011-09-06,1,4097.13,2011-09-06,8183.03,2,2,1,Flood
INDOFLOODS-gauge-589-25,2019-08-04,2019-08-20,544.33,2019-08-09,1,,,,17,6,12,Severe Flood
INDOFLOODS-gauge-596-1,2018-07-13,2018-07-13,9.73,2018-07-13,1,,,,1,1,1,Flood
INDOFLOODS-gauge-596-2,2019-08-03,2019-08-06,11.05,2019-08-04,1,,,,4,2,3,Severe Flood
INDOFLOODS-gauge-602-1,2019-08-06,2019-08-06,10.31,2019-08-06,1,,,,1,1,1,Flood
INDOFLOODS-gauge-612-1,1965-08-01,1965-08-03,420.04,1965-08-02,1,4240.0,1965-08-02,11780.0,3,2,2,Flood
INDOFLOODS-gauge-612-2,1967-07-29,1967-08-02,423.11,1967-08-01,1,8333.0,1967-07-31,33693.3,5,4,2,Severe Flood
INDOFLOODS-gauge-612-3,1967-08-05,1967-08-05,419.06,1967-08-05,1,3507.1,1967-08-05,3507.1,1,1,1,Flood
INDOFLOODS-gauge-612-4,1969-08-03,1969-08-05,421.12,1969-08-04,1,5511.0,1969-08-04,14314.0,3,2,2,Severe Flood
INDOFLOODS-gauge-612-5,1969-09-03,1969-09-04,419.66,1969-09-04,1,3733.6,1969-09-04,7403.7,2,2,1,Flood
INDOFLOODS-gauge-612-6,1971-09-02,1971-09-03,419.59,1971-09-02,1,4356.8,1971-09-02,8065.2,2,1,2,Flood
INDOFLOODS-gauge-612-7,1971-10-03,1971-10-03,419.09,1971-10-03,1,4122.4,1971-10-03,4122.4,1,1,1,Flood
INDOFLOODS-gauge-612-8,1976-08-03,1976-08-10,422.09,1976-08-05,1,8295.7,1976-08-05,53040.5,8,3,6,Severe Flood
INDOFLOODS-gauge-612-9,1979-08-13,1979-08-13,419.16,1979-08-13,1,3841.3,1979-08-13,3841.3,1,1,1,Flood
INDOFLOODS-gauge-612-10,1979-09-26,1979-09-28,422.84,1979-09-27,1,8700.0,1979-09-27,19619.0,3,2,2,Severe Flood
INDOFLOODS-gauge-612-11,1980-08-06,1980-08-06,419.03,1980-08-06,1,3284.7,1980-08-06,3284.7,1,1,1,Flood
INDOFLOODS-gauge-612-12,1981-07-12,1981-07-13,420.48,1981-07-12,1,4960.0,1981-07-12,8538.5,2,1,2,Flood
INDOFLOODS-gauge-612-13,1981-09-22,1981-09-23,420.71,1981-09-23,1,4690.5,1981-09-23,8888.3,2,2,1,Severe Flood
INDOFLOODS-gauge-612-14,1983-08-17,1983-08-21,421.94,1983-08-19,1,6691.1,1983-08-19,26575.5,5,3,3,Severe Flood
INDOFLOODS-gauge-612-15,1983-09-23,1983-09-23,419.08,1983-09-23,1,3263.6,1983-09-23,3263.6,1,1,1,Flood
INDOFLOODS-gauge-612-16,1988-09-19,1988-09-20,420.36,1988-09-19,1,4005.0,1988-09-19,7992.0,2,1,2,Flood
INDOFLOODS-gauge-612-17,1988-09-29,1988-09-30,419.7,1988-09-29,1,3657.0,1988-09-29,6967.0,2,1,2,Flood
INDOFLOODS-gauge-612-18,1989-09-29,1989-09-30,420.32,1989-09-29,1,4887.0,1989-09-29,9087.0,2,1,2,Flood
INDOFLOODS-gauge-612-19,1990-08-19,1990-08-21,419.59,1990-08-19,1,3934.0,1990-08-19,11435.0,3,1,3,Flood
INDOFLOODS-gauge-612-20,1991-07-30,1991-07-31,419.72,1991-07-30,1,4261.0,1991-07-30,8046.0,2,1,2,Flood
INDOFLOODS-gauge-612-21,1994-07-15,1994-07-19,422.45,1994-07-18,1,7698.0,1994-07-18,28554.0,5,4,2,Severe Flood
INDOFLOODS-gauge-612-22,1994-07-23,1994-07-27,421.47,1994-07-26,1,5668.0,1994-07-26,24742.0,5,4,2,Severe Flood
INDOFLOODS-gauge-612-23,1994-09-04,1994-09-05,420.28,1994-09-05,1,5059.0,1994-09-05,9397.0,2,2,1,Flood
INDOFLOODS-gauge-612-24,1996-10-05,1996-10-06,420.39,1996-10-06,1,5211.0,1996-10-06,9558.0,2,2,1,Flood
INDOFLOODS-gauge-612-25,1997-08-25,1997-08-29,423.29,1997-08-28,1,8120.0,1997-08-28,29280.0,5,4,2,Severe Flood
INDOFLOODS-gauge-612-26,1998-10-04,1998-10-06,419.27,1998-10-06,1,3480.0,1998-10-06,10274.0,3,3,1,Flood
INDOFLOODS-gauge-612-27,1998-10-13,1998-10-17,420.76,1998-10-17,1,5458.0,1998-10-14,22008.0,5,5,1,Severe Flood
INDOFLOODS-gauge-612-28,2005-07-30,2005-07-31,420.27,2005-07-31,1,7102.95,2005-07-30,11106.59,2,2,1,Flood
INDOFLOODS-gauge-612-29,2005-08-02,2005-08-08,423.09,2005-08-06,1,6944.26,2005-08-05,36312.55,7,5,3,Severe Flood
INDOFLOODS-gauge-612-30,2006-08-01,2006-08-04,421.01,2006-08-04,1,5195.88,2006-08-04,19994.85,4,4,1,Severe Flood
INDOFLOODS-gauge-612-31,2006-08-08,2006-08-15,423.65,2006-08-12,1,7671.66,2006-08-12,48235.39,8,5,4,Severe Flood
INDOFLOODS-gauge-612-32,2006-08-19,2006-08-20,419.72,2006-08-19,1,4073.2,2006-08-19,8021.66,2,1,2,Flood
INDOFLOODS-gauge-612-33,2009-10-04,2009-10-04,419.69,2009-10-04,1,3669.0,2009-10-04,3669.0,1,1,1,Flood
INDOFLOODS-gauge-612-34,2011-09-06,2011-09-06,419.27,2011-09-06,1,4219.0,2011-09-06,4219.0,1,1,1,Flood
INDOFLOODS-gauge-612-35,2019-08-07,2019-08-10,421.48,2019-08-09,1,,,,4,3,2,Severe Flood
INDOFLOODS-gauge-626-1,2019-07-07,2019-07-07,568.36,2019-07-07,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-635-1,2017-07-24,2017-07-24,491.15,2017-07-24,1,1695.45,2017-07-24,1695.45,1,1,1,Flood
INDOFLOODS-gauge-635-2,2017-07-29,2017-07-30,491.1,2017-07-29,2,1471.91,2017-07-29,2943.82,2,1,2,Flood
INDOFLOODS-gauge-635-3,2017-10-12,2017-10-12,491.0,2017-10-12,1,1051.14,2017-10-12,1051.14,1,1,1,Flood
INDOFLOODS-gauge-635-4,2019-08-03,2019-08-06,495.85,2019-08-05,1,,,,4,3,2,Severe Flood
INDOFLOODS-gauge-635-5,2019-12-20,2019-12-26,492.57,2019-12-20,4,,,,7,1,7,Flood
INDOFLOODS-gauge-635-6,2020-01-17,2020-01-17,491.82,2020-01-17,1,,,,1,1,1,Flood
INDOFLOODS-gauge-635-7,2020-01-19,2020-01-20,491.9,2020-01-20,1,,,,2,2,1,Flood
INDOFLOODS-gauge-635-8,2020-01-24,2020-01-31,491.18,2020-01-24,8,,,,8,1,8,Flood
INDOFLOODS-gauge-635-9,2020-02-19,2020-02-19,490.98,2020-02-19,1,,,,1,1,1,Flood
INDOFLOODS-gauge-640-1,1969-08-01,1969-08-02,506.32,1969-08-02,1,6190.4,1969-08-02,11398.3,2,2,1,Severe Flood
INDOFLOODS-gauge-640-2,1971-08-30,1971-08-30,504.08,1971-08-30,1,4210.0,1971-08-30,4210.0,1,1,1,Flood
INDOFLOODS-gauge-640-3,1971-10-01,1971-10-01,505.0,1971-10-01,1,4827.4,1971-10-01,4827.4,1,1,1,Severe Flood
INDOFLOODS-gauge-640-4,1972-07-09,1972-07-09,504.25,1972-07-09,1,4333.6,1972-07-09,4333.6,1,1,1,Flood
INDOFLOODS-gauge-640-5,1973-07-09,1973-07-09,504.3,1973-07-09,1,4602.9,1973-07-09,4602.9,1,1,1,Flood
INDOFLOODS-gauge-640-6,1976-07-31,1976-08-06,508.33,1976-08-02,1,9240.0,1976-08-02,37459.2,7,3,5,Severe Flood
INDOFLOODS-gauge-640-7,1980-07-04,1980-07-04,504.59,1980-07-04,1,3705.0,1980-07-04,3705.0,1,1,1,Flood
INDOFLOODS-gauge-640-8,1980-08-04,1980-08-04,504.45,1980-08-04,1,3667.2,1980-08-04,3667.2,1,1,1,Flood
INDOFLOODS-gauge-640-9,1981-07-10,1981-07-11,505.46,1981-07-10,1,4763.5,1981-07-10,7962.9,2,1,2,Severe Flood
INDOFLOODS-gauge-640-10,1983-08-09,1983-08-09,504.01,1983-08-09,1,3654.5,1983-08-09,3654.5,1,1,1,Flood
INDOFLOODS-gauge-640-11,1983-08-16,1983-08-17,508.25,1983-08-17,1,6925.0,1983-08-17,12915.0,2,2,1,Severe Flood
INDOFLOODS-gauge-640-12,1988-08-03,1988-08-03,504.27,1988-08-03,1,3455.0,1988-08-03,3455.0,1,1,1,Flood
INDOFLOODS-gauge-640-13,1989-07-25,1989-07-25,505.16,1989-07-25,1,5406.0,1989-07-25,5406.0,1,1,1,Severe Flood
INDOFLOODS-gauge-640-14,1990-07-25,1990-07-25,505.4,1990-07-25,1,4785.0,1990-07-25,4785.0,1,1,1,Severe Flood
INDOFLOODS-gauge-640-15,1990-08-16,1990-08-17,504.95,1990-08-17,1,4059.0,1990-08-17,7512.0,2,2,1,Flood
INDOFLOODS-gauge-640-16,1991-07-28,1991-07-29,504.34,1991-07-28,1,4280.0,1991-07-28,8343.0,2,1,2,Flood
INDOFLOODS-gauge-640-17,1994-07-14,1994-07-16,508.1,1994-07-15,1,8210.0,1994-07-15,18417.0,3,2,2,Severe Flood
INDOFLOODS-gauge-640-18,1997-08-01,1997-08-01,504.23,1997-08-01,1,4203.0,1997-08-01,4203.0,1,1,1,Flood
INDOFLOODS-gauge-640-19,1997-08-24,1997-08-26,508.8,1997-08-24,1,8200.0,1997-08-24,20620.0,3,1,3,Severe Flood
INDOFLOODS-gauge-640-20,2005-07-27,2005-07-28,507.02,2005-07-28,1,6000.0,2005-07-28,11000.0,2,2,1,Severe Flood
INDOFLOODS-gauge-640-21,2005-08-02,2005-08-04,507.43,2005-08-03,1,6750.0,2005-08-03,16700.0,3,2,2,Severe Flood
INDOFLOODS-gauge-640-22,2006-07-30,2006-07-31,505.2,2006-07-30,1,4616.35,2006-07-30,9116.3,2,1,2,Severe Flood
INDOFLOODS-gauge-640-23,2006-08-07,2006-08-10,507.26,2006-08-08,1,6804.65,2006-08-08,23206.37,4,2,3,Severe Flood
INDOFLOODS-gauge-640-24,2006-08-12,2006-08-12,504.06,2006-08-12,1,3559.78,2006-08-12,3559.78,1,1,1,Flood
INDOFLOODS-gauge-640-25,2006-08-18,2006-08-18,504.92,2006-08-18,1,4346.65,2006-08-18,4346.65,1,1,1,Flood
INDOFLOODS-gauge-640-26,2019-08-05,2019-08-06,505.77,2019-08-05,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-642-1,1967-07-29,1967-08-01,461.5,1967-07-30,1,6620.0,1967-07-30,23980.0,4,2,3,Severe Flood
INDOFLOODS-gauge-642-2,1969-08-02,1969-08-03,459.91,1969-08-02,1,5988.4,1969-08-02,11599.7,2,1,2,Severe Flood
INDOFLOODS-gauge-642-3,1976-08-02,1976-08-07,460.22,1976-08-03,1,6676.7,1976-08-03,34321.1,6,2,5,Severe Flood
INDOFLOODS-gauge-642-4,1981-07-10,1981-07-11,459.69,1981-07-11,1,6990.3,1981-07-11,12902.4,2,2,1,Severe Flood
INDOFLOODS-gauge-642-5,1983-08-17,1983-08-19,460.18,1983-08-17,1,7601.8,1983-08-17,20639.6,3,1,3,Severe Flood
INDOFLOODS-gauge-642-6,1994-07-15,1994-07-17,461.43,1994-07-16,1,7290.0,1994-07-16,19540.0,3,2,2,Severe Flood
INDOFLOODS-gauge-642-7,1994-07-23,1994-07-25,459.2,1994-07-23,1,5540.0,1994-07-23,16033.0,3,1,3,Severe Flood
INDOFLOODS-gauge-642-8,1997-08-25,1997-08-27,462.04,1997-08-26,1,7450.0,1997-08-26,20540.0,3,2,2,Severe Flood
INDOFLOODS-gauge-642-9,2005-07-29,2005-07-29,459.03,2005-07-29,1,5053.01,2005-07-29,5053.01,1,1,1,Flood
INDOFLOODS-gauge-642-10,2005-08-02,2005-08-05,461.79,2005-08-04,1,7109.06,2005-08-04,25972.43,4,3,2,Severe Flood
INDOFLOODS-gauge-642-11,2006-07-31,2006-08-02,458.99,2006-08-02,1,5614.15,2006-08-02,16195.91,3,3,1,Flood
INDOFLOODS-gauge-642-12,2006-08-08,2006-08-12,462.38,2006-08-10,1,8862.99,2006-08-10,37353.02,5,3,3,Severe Flood
INDOFLOODS-gauge-642-13,2019-06-25,2019-06-30,549.91,2019-06-25,6,,,,6,1,6,Severe Flood
INDOFLOODS-gauge-642-14,2019-08-06,2019-08-08,460.29,2019-08-06,1,,,,3,1,3,Severe Flood
INDOFLOODS-gauge-643-1,1980-07-02,1980-07-11,537.34,1980-07-06,1,1840.0,1980-07-06,15025.0,10,5,6,Severe Flood
INDOFLOODS-gauge-643-2,1980-08-04,1980-08-12,536.92,1980-08-07,1,1917.6,1980-08-07,13176.9,9,4,6,Severe Flood
INDOFLOODS-gauge-643-3,1981-07-08,1981-07-13,536.5,1981-07-11,1,1790.0,1981-07-11,9346.6,6,4,3,Severe Flood
