EventID,T1d,T2d,T3d,T4d,T5d,T6d,T7d,T8d,T9d,T10d
INDOFLOODS-gauge-585-1,24.93390467,48.42657283,48.4950855,48.54591142,49.14929855,49.22240659,49.28595412,49.28595412,49.35966676,49.43852962
INDOFLOODS-gauge-585-2,50.17239467,124.849268,146.39705769999995,152.49658369999997,173.97270769999997,206.8292377,245.7084497,294.5472218999999,325.5439777,360.863843
INDOFLOODS-gauge-589-1,62.24332081,127.4388631,163.34495980000003,210.3157912,246.50766980000003,267.7521019,285.096177,300.5564881,320.0633106,337.0987157
INDOFLOODS-gauge-589-2,32.18538235,57.46317283,90.89416598,103.7299918,165.9733126,231.1688549,267.0749516,314.0457829,350.2376615,371.4820937
INDOFLOODS-gauge-589-3,73.58089571,202.8814104,317.77013789999995,383.7656693,409.6660134,424.7461933,427.70990210000014,436.456134,440.9523415,445.5734695
INDOFLOODS-gauge-589-4,33.16173273,88.63332892,118.9005292,125.7917685,130.7461095,135.9033801,141.72579299999995,145.6574328,153.2228371,162.6285678
INDOFLOODS-gauge-589-5,5.793015201,32.25231137,67.01500923,79.18213859,89.05560386,98.42408482,101.0963702,103.0565793,109.0848271,109.5358859
INDOFLOODS-gauge-589-6,40.317713,77.65278204,109.6331557,120.3361519,127.0531442,135.09288519999998,139.4653783,143.42011399999996,147.1817575,158.5015525
INDOFLOODS-gauge-589-7,31.98300797,58.03689276,92.93362939,131.3936064,151.24798909999996,162.55674019999995,180.8900324,194.0550745,204.0148478,239.6775752
INDOFLOODS-gauge-589-8,61.28059877,131.4883687,163.5325072,178.38323559999995,197.4154799,212.8605311,220.2236179,227.4329491,237.6460001,251.8182503
INDOFLOODS-gauge-589-9,17.30982089,41.37971338,91.20640827,133.7372555,151.5538988,170.65609009999997,184.9546763,197.0932442,206.9185855,217.5877884
INDOFLOODS-gauge-589-10,7.126762764,50.33913464,80.40572399,94.54259992,113.5577219,129.6008602,145.0769964,171.0663825,246.8539041,262.425245
INDOFLOODS-gauge-589-11,42.2343995,132.9659565,324.2750513000001,355.6763625,370.6531813,379.1908608,391.5953568,406.5247203,451.6905048,461.2736861000001
INDOFLOODS-gauge-589-12,36.67216464,86.55166539,105.8166648,134.4447907,163.48988530000003,189.2669228,209.9234312,228.7590662,239.1597039,245.5931146
INDOFLOODS-gauge-589-13,46.58182655,110.3735769,159.98957099999996,178.14134030000002,192.4373642,204.502248,220.902511,233.3675004,242.1425625,260.3188811
INDOFLOODS-gauge-589-14,86.28875809,139.2370561,192.7731488,208.3111449,232.6047801,240.9592515,246.2494806,252.5495305,268.7091825,288.70978189999994
INDOFLOODS-gauge-589-15,13.89798201,38.66154299,70.58320984,91.28374438,98.48629842,109.27005590000002,143.467487,176.4967425,181.6334907,190.0987917
INDOFLOODS-gauge-589-16,17.70403447,75.62793504,144.0253695,178.7398681,210.5226079,250.8353772,290.5721946000001,296.6562281,298.4828693,299.8494597
INDOFLOODS-gauge-589-17,11.13673551,18.09447717,27.27131544,38.19642119,44.24219953,53.61032789,71.31436236,129.2382629,197.63569740000003,232.350196
INDOFLOODS-gauge-589-18,46.74542219,95.68272259,110.2373078,116.5893399,120.7311934,123.7491619,126.0182798,128.5202945,131.2864249,132.9223615
INDOFLOODS-gauge-589-19,7.028294885,37.90359177,70.60971412,80.09963522,92.05453314,105.6536921,118.1072562,139.7433628,168.72602769999995,215.9951483
